n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_03_001,64,38.75385538828827,-90.37903756858304,Rwy_03_002,65,38.75308018722986,-90.37748688273273
Txy_C_V,58,38.75133289312146,-90.37875037850522,Txy_D_V,56,38.75203829248877,-90.37819947694952
Txy_D_V,56,38.75203829248877,-90.37819947694952,Txy_V_001,62,38.75238013251076,-90.37792736460088
Txy_V_001,62,38.75238013251076,-90.37792736460088,Rwy_03_002,65,38.75308018722986,-90.37748688273273
Txy_C_002,63,38.75219097517063,-90.3802002626496,Txy_C_V,58,38.75133289312146,-90.37875037850522
Rwy_03_001,64,38.75385538828827,-90.37903756858304,Txy_C_001,61,38.75319248613829,-90.37958018725483
Txy_D_V,56,38.75203829248877,-90.37819947694952,Txy_D_001,55,38.75182085768734,-90.3777661700855
Txy_C_V,58,38.75133289312146,-90.37875037850522,Txy_C_003,57,38.7511116206516,-90.37829968179662
Txy_C_003,57,38.7511116206516,-90.37829968179662,Txy_C_U,60,38.75031863422413,-90.37668870256262
Txy_C_U,60,38.75031863422413,-90.37668870256262,Txy_C_T,49,38.75000149413729,-90.37604803352009
Txy_C_T,49,38.75000149413729,-90.37604803352009,Txy_C_004,50,38.74975804655107,-90.37554147069754
Txy_D_001,55,38.75182085768734,-90.3777661700855,Txy_D_U,59,38.75103448743558,-90.37616559026718
Txy_D_U,59,38.75103448743558,-90.37616559026718,Txy_D_T,53,38.75044433297342,-90.37496001227805
Txy_D_T,53,38.75044433297342,-90.37496001227805,Txy_D_002,54,38.75024221012507,-90.37455417694366
Rwy_03_002,65,38.75308018722986,-90.37748688273273,Rwy_02_03,74,38.75039766955999,-90.37199670552239
Rwy_03_002,65,38.75308018722986,-90.37748688273273,Txy_V_002,66,38.75339438511163,-90.37609365689968
Txy_V_002,66,38.75339438511163,-90.37609365689968,Txy_V_003,99,38.75367261245461,-90.37441050902501
Txy_C_004,50,38.74975804655107,-90.37554147069754,Rwy_02_005,51,38.74932028856223,-90.37466348039875
Rwy_02_005,51,38.74932028856223,-90.37466348039875,Txy_C_005,52,38.74887786133237,-90.37383637793982
Txy_C_005,52,38.74887786133237,-90.37383637793982,Txy_C_S,72,38.74865360033203,-90.3732577017657
Txy_D_002,54,38.75024221012507,-90.37455417694366,Rwy_02_006,68,38.74976124227867,-90.37357916995512
Rwy_02_006,68,38.74976124227867,-90.37357916995512,Txy_D_003,69,38.74932958058218,-90.3727057326493
Txy_C_U,60,38.75031863422413,-90.37668870256262,Txy_D_U,59,38.75103448743558,-90.37616559026718
Txy_C_T,49,38.75000149413729,-90.37604803352009,Txy_D_T,53,38.75044433297342,-90.37496001227805
Rwy_02_03,74,38.75039766955999,-90.37199670552239,Rwy_03_003,75,38.74995040522229,-90.37113507311894
Rwy_03_003,75,38.74995040522229,-90.37113507311894,Rwy_03_004,73,38.74970440224857,-90.37063881623374
Rwy_02_001,39,38.74676473488307,-90.38106520635165,Rwy_02_002,35,38.7468797183456,-90.38073721903295
Rwy_02_002,35,38.7468797183456,-90.38073721903295,Rwy_02_003,38,38.74738854883864,-90.37946184386625
Rwy_02_003,38,38.74738854883864,-90.37946184386625,Rwy_02_004,47,38.74875981157553,-90.37607261317066
Rwy_02_004,47,38.74875981157553,-90.37607261317066,Rwy_02_005,51,38.74932028856223,-90.37466348039875
Rwy_02_003,38,38.74738854883864,-90.37946184386625,Txy_B_004,41,38.74703989299362,-90.37840353784905
Txy_B_004,41,38.74703989299362,-90.37840353784905,Txy_S_B,42,38.7468292713624,-90.3778011664295
Txy_S_002,44,38.74590972626238,-90.38013510175745,Txy_S_003,43,38.74666391707841,-90.37821680813235
Txy_S_003,43,38.74666391707841,-90.37821680813235,Txy_S_B,42,38.7468292713624,-90.3778011664295
Txy_S_001,40,38.74612751083607,-90.38067587749748,Txy_S_002,44,38.74590972626238,-90.38013510175745
Rwy_02_001,39,38.74676473488307,-90.38106520635165,Txy_S_001,40,38.74612751083607,-90.38067587749748
Txy_S_B,42,38.7468292713624,-90.3778011664295,Txy_S_S1,46,38.7477751642324,-90.375444033666
Txy_S_S1,46,38.7477751642324,-90.375444033666,Txy_S1_002,48,38.74768029693738,-90.37538972618982
Rwy_02_004,47,38.74875981157553,-90.37607261317066,Txy_S1_001,45,38.74814313937014,-90.37566535888188
Txy_S1_001,45,38.74814313937014,-90.37566535888188,Txy_S_S1,46,38.7477751642324,-90.375444033666
Txy_S_S1,46,38.7477751642324,-90.375444033666,Txy_C_S,72,38.74865360033203,-90.3732577017657
Txy_C_S,72,38.74865360033203,-90.3732577017657,Txy_C_006,215,38.74850100031904,-90.37249552143746
