n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Rwy_01_001,0,41.50084985956974,-74.13038291561695,Rwy_01_002,1,41.5011719407097,-74.12830881836489
Rwy_01_002,1,41.5011719407097,-74.12830881836489,Rwy_01_003,2,41.50195477190999,-74.12338192777216
Rwy_01_003,2,41.50195477190999,-74.12338192777216,RWy_01_004,3,41.50307447259819,-74.11612663117214
RWy_01_004,3,41.50307447259819,-74.11612663117214,Rwy_01_005,4,41.5032379997884,-74.11506067787917
Rwy_01_005,4,41.5032379997884,-74.11506067787917,Rwy_01_006,5,41.50374935797859,-74.11173730032142
Rwy_01_006,5,41.50374935797859,-74.11173730032142,Rwy_01_007,6,41.50471549629719,-74.10560338948896
Rwy_01_007,6,41.50471549629719,-74.10560338948896,Rwy_01_008,7,41.50581543230583,-74.09836785499171
Rwy_01_008,7,41.50581543230583,-74.09836785499171,Rwy_01_02,8,41.5059669978729,-74.09728253625991
Rwy_01_02,8,41.5059669978729,-74.09728253625991,Rwy_01_010,9,41.50625948744656,-74.09545970718416
Rwy_01_010,9,41.50625948744656,-74.09545970718416,Rwy_01_011,10,41.50689511997685,-74.09138973482276
Rwy_01_011,10,41.50689511997685,-74.09138973482276,Rwy_01_012,11,41.50734081536498,-74.08846680405244
Rwy_01_012,11,41.50734081536498,-74.08846680405244,Txy_A_003,35,41.50567500371539,-74.08804105673325
Txy_A_003,35,41.50567500371539,-74.08804105673325,Txy_J_A,36,41.50538903112334,-74.0894349182868
Txy_J_A,36,41.50538903112334,-74.0894349182868,Txy_A5_A,34,41.50522972827231,-74.09090943399235
Txy_A5_A,34,41.50522972827231,-74.09090943399235,Txy_K_A,37,41.50505146337248,-74.0916514439495
Txy_A5_A,34,41.50522972827231,-74.09090943399235,Rwy_01_011,10,41.50689511997685,-74.09138973482276
Txy_K_A,37,41.50505146337248,-74.0916514439495,Rwy_02_004,15,41.5043892213091,-74.0960365999113
Rwy_02_004,15,41.5043892213091,-74.0960365999113,Rwy_02_003,14,41.50527983371823,-74.0967405318607
Rwy_02_003,14,41.50527983371823,-74.0967405318607,Rwy_01_02,8,41.5059669978729,-74.09728253625991
Rwy_01_02,8,41.5059669978729,-74.09728253625991,Rwy_02_002,13,41.50668067071475,-74.09784844509394
Rwy_02_002,13,41.50668067071475,-74.09784844509394,Rwy_02_001,12,41.51116886365929,-74.10137355748802
Rwy_02_001,12,41.51116886365929,-74.10137355748802,Txy_G_003,32,41.51008884696291,-74.10173155262649
Txy_G_003,32,41.51008884696291,-74.10173155262649,Txy_G_002,31,41.50772432190803,-74.10248892135164
Txy_G_002,31,41.50772432190803,-74.10248892135164,Txy_G_001,30,41.50581684331407,-74.10474938862018
Txy_G_001,30,41.50581684331407,-74.10474938862018,Rwy_01_007,6,41.50471549629719,-74.10560338948896
Rwy_01_007,6,41.50471549629719,-74.10560338948896,Txy_A4_A,33,41.50339587234172,-74.1025744609378
Txy_A4_A,33,41.50339587234172,-74.1025744609378,Rwy_02_004,15,41.5043892213091,-74.0960365999113
Txy_B_002,43,41.50202733711493,-74.09827645972142,Txy_A4_A,33,41.50339587234172,-74.1025744609378
Txy_B_001,42,41.50070841330388,-74.09433032036955,Txy_B_002,43,41.50202733711493,-74.09827645972142
Txy_B_001,42,41.50070841330388,-74.09433032036955,Rwy_02_005,16,41.50113525801811,-74.09347298139807
Rwy_02_005,16,41.50113525801811,-74.09347298139807,Rwy_02_004,15,41.5043892213091,-74.0960365999113
Rwy_02_005,16,41.50113525801811,-74.09347298139807,Rwy_02_006,17,41.49785720299496,-74.0909289380177
Parking_03_001,38,41.50205608923605,-74.08915697227297,Txy_K_A,37,41.50505146337248,-74.0916514439495
Txy_J_A,36,41.50538903112334,-74.0894349182868,Parking_03_002,39,41.50281340620747,-74.08750144021312
Rwy_02_006,17,41.49785720299496,-74.0909289380177,Txy_F_001,46,41.49388580156322,-74.0929468493172
Txy_F_001,46,41.49388580156322,-74.0929468493172,Ramp_01_002,48,41.49405107963375,-74.09395926652435
Ramp_01_002,48,41.49405107963375,-74.09395926652435,Ramp_01_001,47,41.49474460689808,-74.0967692535489
Parking_Helipad_002,45,41.49377653636257,-74.09405050437722,Ramp_01_002,48,41.49405107963375,-74.09395926652435
Ramp_01_001,47,41.49474460689808,-74.0967692535489,Ramp_01_003,56,41.49835254248177,-74.098689324012
Txy_B_002,43,41.50202733711493,-74.09827645972142,Txy_B_003,44,41.50142513888891,-74.09848439152742
Txy_B_003,44,41.50142513888891,-74.09848439152742,Ramp_01_010,63,41.50118816903843,-74.09856260841097
Ramp_01_010,63,41.50118816903843,-74.09856260841097,Ramp_01_009,62,41.49996972772209,-74.09904556809212
Ramp_01_009,62,41.49996972772209,-74.09904556809212,Ramp_01_007,60,41.49958787748962,-74.09917502902252
Ramp_01_007,60,41.49958787748962,-74.09917502902252,Ramp_01_006,59,41.49933575082229,-74.09914445192881
Ramp_01_006,59,41.49933575082229,-74.09914445192881,Ramp_01_005,58,41.49898830423106,-74.09897218641349
Ramp_01_005,58,41.49898830423106,-74.09897218641349,Ramp_01_004,57,41.4986636427357,-74.0988425010464
Ramp_01_004,57,41.4986636427357,-74.0988425010464,Ramp_01_003,56,41.49835254248177,-74.098689324012
Gate_01_001,49,41.49795182750358,-74.09962096858919,Ramp_01_003,56,41.49835254248177,-74.098689324012
Parking_Helipad_001,41,41.50178982240412,-74.09888386080726,Txy_B_003,44,41.50142513888891,-74.09848439152742
Parking_01_001,40,41.50127075087833,-74.0996184501857,Ramp_01_010,63,41.50118816903843,-74.09856260841097
Ramp_01_008,61,41.50003390995524,-74.09972918493904,Ramp_01_009,62,41.49996972772209,-74.09904556809212
Gate_01_005,53,41.49915669521028,-74.1000618972103,Ramp_01_006,59,41.49933575082229,-74.09914445192881
Gate_01_004,52,41.49881085597711,-74.09981704771725,Ramp_01_005,58,41.49898830423106,-74.09897218641349
Gate_01_007,55,41.49965036487333,-74.10034546314286,Ramp_01_008,61,41.50003390995524,-74.09972918493904
Gate_01_006,54,41.49947479357226,-74.1001219355811,Ramp_01_007,60,41.49958787748962,-74.09917502902252
Gate_01_003,51,41.49853241830299,-74.09981236356114,Ramp_01_004,57,41.4986636427357,-74.0988425010464
Gate_01_002,50,41.4982252372784,-74.09962796323425,Ramp_01_003,56,41.49835254248177,-74.098689324012
Rwy_01_001,0,41.50084985956974,-74.13038291561695,Txy_A_001,18,41.49967497739922,-74.12989253076077
Txy_A_001,18,41.49967497739922,-74.12989253076077,Txy_A_002,19,41.49938944774628,-74.12907122188085
Txy_A_002,19,41.49938944774628,-74.12907122188085,Txy_A_A1,21,41.49960131667986,-74.12784715008698
Txy_A_A1,21,41.49960131667986,-74.12784715008698,Txy_A1_001,20,41.50011279149651,-74.1279815250282
Txy_A1_001,20,41.50011279149651,-74.1279815250282,Rwy_01_002,1,41.5011719407097,-74.12830881836489
Txy_A_A1,21,41.49960131667986,-74.12784715008698,Txy_A2_A,23,41.50171997157705,-74.11395867119104
Txy_A2_A,23,41.50171997157705,-74.11395867119104,Txy_A2_001,22,41.50235345586582,-74.11480029313437
Txy_A2_001,22,41.50235345586582,-74.11480029313437,RWy_01_004,3,41.50307447259819,-74.11612663117214
RWy_01_004,3,41.50307447259819,-74.11612663117214,Txy_L_001,25,41.50375789383533,-74.11674494657987
Txy_L_001,25,41.50375789383533,-74.11674494657987,Parking_04_001,26,41.50476567615126,-74.1178244233311
Txy_M_002,28,41.5064403438231,-74.11588499590437,Parking_04_002,29,41.50689865412144,-74.11321318841192
Txy_M_002,28,41.5064403438231,-74.11588499590437,Txy_M_001,27,41.50398486807069,-74.11529149716608
Txy_M_001,27,41.50398486807069,-74.11529149716608,Rwy_01_005,4,41.5032379997884,-74.11506067787917
Txy_A2_A,23,41.50171997157705,-74.11395867119104,Txy_A3_001,24,41.50273247954572,-74.11314660507591
Txy_A3_001,24,41.50273247954572,-74.11314660507591,Rwy_01_006,5,41.50374935797859,-74.11173730032142
Txy_A2_A,23,41.50171997157705,-74.11395867119104,Txy_A4_A,33,41.50339587234172,-74.1025744609378
