id,index,lat,lon,yEdId,domain,refName,type
Parking_Z_004,0,40.85454315973936,-74.06274280835713,n0,Park,null,null
Txy_C_P,1,40.85327017931298,-74.06293886003996,n1,Txy,null,null
Rwy_01_001,2,40.8387391922488,-74.06026651478479,n2,Rwy,null,null
Rwy_01_002,3,40.84024387611207,-74.0601610265247,n3,Rwy,null,null
Rwy_01_004,4,40.84326764999599,-74.05993801368733,n4,Rwy,null,null
Rwy_01_005,5,40.84590885376835,-74.05992849962414,n5,Rwy,null,null
Rwy_01_006,6,40.84777074929183,-74.05978912139891,n6,Rwy,null,null
Rwy_01_007,7,40.84925082336455,-74.05968087817293,n7,Rwy,null,null
Rwy_01_008,8,40.85087539933275,-74.05955386746422,n8,Rwy,null,null
Rwy_01_009,9,40.85271882265826,-74.05942903885303,n9,Rwy,null,null
Rwy_01_010,10,40.85327541767732,-74.05939320000611,n10,Rwy,null,null
Rwy_01_02,11,40.85424464139305,-74.05932361210404,n11,Rwy,null,null
Rwy_01_012,12,40.85650893599722,-74.05915251376732,n12,Rwy,null,null
Rwy_01_013,13,40.85778709689002,-74.05905656666604,n13,Rwy,null,null
Rwy_02_001,14,40.84680656140322,-74.07027919255724,n14,Rwy,RW06 ,Entry
Rwy_02_002,15,40.84956085190783,-74.06623188925457,n15,Rwy,null,null
Rwy_02_003,16,40.85260265722923,-74.06175332154676,n16,Rwy,null,null
Rwy_02_004,17,40.85323015413513,-74.06083870988013,n17,Rwy,null,null
Rwy_02_005,18,40.85362223066051,-74.06026400013471,n18,Rwy,null,null
Rwy_02_006,19,40.85490238517468,-74.05827390986077,n19,Rwy,null,null
Rwy_02_007,20,40.8555131332852,-74.05732879523768,n20,Rwy,null,null
Rwy_02_008,21,40.85768019301965,-74.05428945473915,n21,Rwy,RW24 ,Entry
Txy_L_001,22,40.8387663430721,-74.06135609599802,n22,Txy,null,null
Txy_L_K,23,40.84030754000055,-74.06179321659103,n23,Txy,null,null
Txy_L_002,24,40.83879752846147,-74.0619020294509,n24,Txy,null,null
