n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_A_002,60,40.85826675507485,-74.05757147164003,Txy_A_003,61,40.85857238147573,-74.05538939147348
Txy_A_001,58,40.8577542641216,-74.05800972165264,Txy_A_004,59,40.85817147589977,-74.05491510563022
Rwy_01_013,13,40.85778709689002,-74.05905656666604,Txy_A_001,58,40.8577542641216,-74.05800972165264
Txy_A_001,58,40.8577542641216,-74.05800972165264,Txy_A_002,60,40.85826675507485,-74.05757147164003
Txy_A_003,61,40.85857238147573,-74.05538939147348,Txy_A_004,59,40.85817147589977,-74.05491510563022
Txy_A_004,59,40.85817147589977,-74.05491510563022,Rwy_02_008,21,40.85768019301965,-74.05428945473915
Rwy_02_008,21,40.85768019301965,-74.05428945473915,Txy_Q_006,57,40.85717646814924,-74.05369663705468
Txy_Q_006,57,40.85717646814924,-74.05369663705468,Txy_Q_005,56,40.85686948064687,-74.05335040784009
Txy_Q_005,56,40.85686948064687,-74.05335040784009,Txy_Q_R,51,40.85533332098709,-74.05540785065178
Txy_Q_R,51,40.85533332098709,-74.05540785065178,Txy_R_001,50,40.85542103480681,-74.05605867732604
Rwy_02_006,19,40.85490238517468,-74.05827390986077,Rwy_01_02,11,40.85424464139305,-74.05932361210404
Txy_B_002,52,40.85595783180263,-74.05818540036634,Rwy_01_012,12,40.85650893599722,-74.05915251376732
Txy_Q_R,51,40.85533332098709,-74.05540785065178,Txy_Q_004,55,40.85456523446925,-74.05654632407492
Txy_Q_004,55,40.85456523446925,-74.05654632407492,Txy_Q_003,49,40.85396207912782,-74.05745892851445
Txy_Q_003,49,40.85396207912782,-74.05745892851445,Txy_Q_002,48,40.85338987681017,-74.0584032620441
Rwy_01_02,11,40.85424464139305,-74.05932361210404,Rwy_02_005,18,40.85362223066051,-74.06026400013471
Rwy_02_005,18,40.85362223066051,-74.06026400013471,Rwy_02_004,17,40.85323015413513,-74.06083870988013
Rwy_02_004,17,40.85323015413513,-74.06083870988013,Rwy_02_003,16,40.85260265722923,-74.06175332154676
Rwy_01_010,10,40.85327541767732,-74.05939320000611,Rwy_01_009,9,40.85271882265826,-74.05942903885303
Rwy_01_02,11,40.85424464139305,-74.05932361210404,Rwy_01_010,10,40.85327541767732,-74.05939320000611
Txy_Q_002,48,40.85338987681017,-74.0584032620441,Rwy_01_009,9,40.85271882265826,-74.05942903885303
Rwy_01_009,9,40.85271882265826,-74.05942903885303,Txy_Q_001,47,40.85203196226272,-74.06043244519373
Rwy_01_008,8,40.85087539933275,-74.05955386746422,Txy_F_001,46,40.85137428139464,-74.06041999083544
Txy_Q_001,47,40.85203196226272,-74.06043244519373,Txy_L_F,28,40.85167848830221,-74.06095584061097
Txy_F_001,46,40.85137428139464,-74.06041999083544,Txy_L_F,28,40.85167848830221,-74.06095584061097
Rwy_02_004,17,40.85323015413513,-74.06083870988013,Txy_L_F,28,40.85167848830221,-74.06095584061097
Rwy_01_009,9,40.85271882265826,-74.05942903885303,Rwy_01_008,8,40.85087539933275,-74.05955386746422
Rwy_01_008,8,40.85087539933275,-74.05955386746422,Rwy_01_007,7,40.84925082336455,-74.05968087817293
Rwy_01_007,7,40.84925082336455,-74.05968087817293,Rwy_01_006,6,40.84777074929183,-74.05978912139891
Txy_L_D,27,40.84930950993049,-74.06113112219317,Txy_D_001,45,40.84928352467318,-74.0605813601521
Txy_D_001,45,40.84928352467318,-74.0605813601521,Rwy_01_007,7,40.84925082336455,-74.05968087817293
Txy_L_F,28,40.85167848830221,-74.06095584061097,Txy_L_D,27,40.84930950993049,-74.06113112219317
Txy_L_D,27,40.84930950993049,-74.06113112219317,Txy_L_G,26,40.84671045989117,-74.06132287382697
Rwy_01_006,6,40.84777074929183,-74.05978912139891,Txy_E_001,44,40.84710273034406,-74.0607529357392
Txy_E_001,44,40.84710273034406,-74.0607529357392,Txy_L_G,26,40.84671045989117,-74.06132287382697
Rwy_01_006,6,40.84777074929183,-74.05978912139891,Rwy_01_005,5,40.84590885376835,-74.05992849962414
Txy_G_001,32,40.84466256052055,-74.05779264425477,Txy_G_002,33,40.8454045580223,-74.05907361317199
Txy_G_002,33,40.8454045580223,-74.05907361317199,Rwy_01_005,5,40.84590885376835,-74.05992849962414
Rwy_01_005,5,40.84590885376835,-74.05992849962414,Txy_G_003,34,40.84640813676118,-74.06079698188952
Txy_G_003,34,40.84640813676118,-74.06079698188952,Txy_L_G,26,40.84671045989117,-74.06132287382697
Rwy_01_005,5,40.84590885376835,-74.05992849962414,Rwy_01_004,4,40.84326764999599,-74.05993801368733
Rwy_01_004,4,40.84326764999599,-74.05993801368733,Txy_J_001,42,40.84279734770179,-74.06106600900782
Txy_J_001,42,40.84279734770179,-74.06106600900782,Txy_L_J,25,40.84239953289307,-74.0616325563502
Txy_L_G,26,40.84671045989117,-74.06132287382697,Txy_L_J,25,40.84239953289307,-74.0616325563502
Rwy_01_002,3,40.84024387611207,-74.0601610265247,Rwy_01_001,2,40.8387391922488,-74.06026651478479
Rwy_01_001,2,40.8387391922488,-74.06026651478479,Txy_L_001,22,40.8387663430721,-74.06135609599802
Txy_L_001,22,40.8387663430721,-74.06135609599802,Txy_L_002,24,40.83879752846147,-74.0619020294509
Rwy_01_002,3,40.84024387611207,-74.0601610265247,Txy_K_001,40,40.84028399682774,-74.06123849572279
Txy_K_001,40,40.84028399682774,-74.06123849572279,Txy_L_K,23,40.84030754000055,-74.06179321659103
Txy_L_002,24,40.83879752846147,-74.0619020294509,Txy_L_K,23,40.84030754000055,-74.06179321659103
Txy_L_K,23,40.84030754000055,-74.06179321659103,Txy_K_002,41,40.84031828251197,-74.06303456551069
Txy_L_J,25,40.84239953289307,-74.0616325563502,Txy_L_K,23,40.84030754000055,-74.06179321659103
Txy_L_G,26,40.84671045989117,-74.06132287382697,Txy_G_N,36,40.8488818056496,-74.0650738006069
Txy_G_N,36,40.8488818056496,-74.0650738006069,Txy_G_004,35,40.84914612116815,-74.06550557591224
Txy_G_004,35,40.84914612116815,-74.06550557591224,Rwy_02_002,15,40.84956085190783,-74.06623188925457
Txy_N_001,39,40.84598398646042,-74.06932461723997,Rwy_02_001,14,40.84680656140322,-74.07027919255724
Rwy_02_001,14,40.84680656140322,-74.07027919255724,Rwy_02_002,15,40.84956085190783,-74.06623188925457
Rwy_02_002,15,40.84956085190783,-74.06623188925457,Txy_G_005,37,40.84997402547288,-74.06694643742668
Txy_G_005,37,40.84997402547288,-74.06694643742668,Txy_G_P,38,40.85023623360855,-74.06739926136767
Rwy_02_002,15,40.84956085190783,-74.06623188925457,Rwy_02_003,16,40.85260265722923,-74.06175332154676
