id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_001,0,27.99340580281,-82.54133350304376,n0,Rwy,RW19R,Entry
Rwy_01_002,1,27.99256595897789,-82.5413426282053,n1,Rwy,null,null
Rwy_01_003,2,27.98682593003848,-82.54155674303267,n2,Rwy,null,null
Rwy_01_004,3,27.98330028117638,-82.54167652623363,n3,Rwy,null,null
Rwy_01_005,4,27.97860732103734,-82.54182149827109,n4,Rwy,null,null
Rwy_01_006,5,27.97732314866802,-82.5418663996627,n5,Rwy,null,null
Rwy_01_007,6,27.97521442295088,-82.54193813445609,n6,Rwy,null,null
Rwy_01_008,7,27.96916209687805,-82.54216745505946,n7,Rwy,null,null
Rwy_01_009,8,27.96425104725298,-82.54230096327126,n8,Rwy,null,null
Rwy_01_010,9,27.96340414422177,-82.54235249078299,n9,Rwy,RW01L,Entry
Rwy_02_001,10,27.98703052675849,-82.52822773526876,n10,Rwy,RW19L,Entry
Rwy_02_002,11,27.98577135880167,-82.52826335291986,n11,Rwy,null,null
Gate_01_009,12,27.9825061790368,-82.53781466629276,n12,Gate,null,null
Rwy_02_003,13,27.98075967580292,-82.52843156470857,n13,Rwy,null,null
Rwy_02_004,14,27.97531585787279,-82.52860106833636,n14,Rwy,null,null
Rwy_02_005,15,27.97457554397082,-82.52864000491185,n15,Rwy,null,null
Rwy_02_006,16,27.97297228572282,-82.5287019246669,n16,Rwy,null,null
Rwy_02_007,17,27.97187595241903,-82.52873617065066,n17,Rwy,null,null
Rwy_02_008,18,27.97153523742306,-82.52874420800543,n18,Rwy,null,null
Rwy_02_03,19,27.97063457726703,-82.52877033268864,n19,Rwy,null,null
Rwy_02_010,20,27.96984061909196,-82.52879914340292,n20,Rwy,null,null
Rwy_02_011,21,27.96946544951628,-82.52881347548823,n21,Rwy,null,null
Rwy_02_012,22,27.96877976133365,-82.52883408984856,n22,Rwy,null,null
Rwy_02_013,23,27.96524852327287,-82.5289556250066,n23,Rwy,null,null
Rwy_02_014,24,27.96443827647283,-82.52898734749995,n24,Rwy,RW01R,Entry
Rwy_03_001,25,27.97025460540102,-82.51452504511514,n25,Rwy,RW28 ,Entry
Rwy_03_002,26,27.97030270540427,-82.51657582461236,n26,Rwy,null,null
Rwy_03_003,27,27.97045365895681,-82.52214558440572,n27,Rwy,null,null
Rwy_03_004,28,27.970531979775,-82.52433148632238,n28,Rwy,null,null
Rwy_03_005,29,27.97056763737799,-82.52678710386841,n29,Rwy,null,null
Rwy_03_006,30,27.97060552833419,-82.52756771923325,n30,Rwy,null,null
Rwy_03_007,31,27.97061396289545,-82.52792199467542,n31,Rwy,null,null
Rwy_03_008,32,27.97066819043089,-82.52962907478073,n32,Rwy,null,null
Rwy_03_009,33,27.970669335698,-82.53000974651849,n33,Rwy,null,null
Rwy_03_010,34,27.97083064748924,-82.53593114774678,n34,Rwy,RW10 ,Entry
Txy_W8_W,35,27.99303730671054,-82.53994507792896,n35,Txy,null,null
Txy_W8_002,36,27.99255414647722,-82.54050864748011,n36,Txy,null,null
Txy_W8_001,37,27.99341080325859,-82.54047513484072,n37,Txy,null,null
Txy_W_W8,38,27.99252270851267,-82.53996122876573,n38,Txy,null,null
Txy_W_002,39,27.98973235203549,-82.53945580376464,n39,Txy,null,null
Txy_W_001,40,27.98973532275806,-82.54005877755945,n40,Txy,null,null
Txy_W_W7,41,27.98676962349211,-82.540261877397,n41,Txy,null,null
Txy_W7_001,42,27.98681401518907,-82.54069309930708,n42,Txy,null,null
Txy_B7_B,43,27.98557484235461,-82.53827285963563,n43,Txy,null,null
Txy_A7_A,44,27.98485788389476,-82.53749783177358,n44,Txy,null,null
Txy_A7_001,45,27.98503525675896,-82.53764026454697,n45,Txy,null,null
Txy_B6_W,46,27.98376117817465,-82.54042178885987,n46,Txy,null,null
Txy_V6_001,47,27.98333023938811,-82.53982780399285,n47,Txy,null,null
Txy_W_V6,48,27.98332578820381,-82.54044008270046,n48,Txy,null,null
Txy_W6_001,49,27.98330739156392,-82.54082326985568,n49,Txy,null,null
Txy_V5_001,50,27.98027594920161,-82.53990629158741,n50,Txy,null,null
Txy_V5_V,51,27.98027032301814,-82.53971141039867,n51,Txy,null,null
Txy_W5_W,52,27.98026828539799,-82.54054107348983,n52,Txy,null,null
Txy_W5_001,53,27.97966955506052,-82.54093387233421,n53,Txy,null,null
Txy_V4_001,54,27.97846756596136,-82.53995400601093,n54,Txy,null,null
Txy_W_V4,55,27.9784710529913,-82.54059686379102,n55,Txy,null,null
Txy_Y_V,56,27.97585868717953,-82.53999941906397,n56,Txy,null,null
Txy_Y_001,57,27.97586402438073,-82.54019772102862,n57,Txy,null,null
Txy_Y_W,58,27.97586403868225,-82.54067952125658,n58,Txy,null,null
Txy_W4_W,59,27.97656944770415,-82.54104484078036,n59,Txy,null,null
Txy_J_001,60,27.97519356369784,-82.54108688748688,n60,Txy,null,null
Txy_W_J,61,27.97518631200953,-82.54071113483234,n61,Txy,null,null
Txy_J_002,62,27.97517416770696,-82.54021927413335,n62,Txy,null,null
Txy_J_003,63,27.97498210056554,-82.5390330973686,n63,Txy,null,null
Txy_J_Y1,64,27.97452099311616,-82.53822992130503,n64,Txy,null,null
Txy_Y1_001,65,27.97505050096925,-82.53781664922799,n65,Txy,null,null
Txy_Y1_Y,66,27.97520207475116,-82.53770877483993,n66,Txy,null,null
Txy_J_004,67,27.97347687470074,-82.53634874818884,n67,Txy,null,null
Txy_J_L,68,27.97308871572826,-82.53319223014181,n68,Txy,null,null
Txy_L_001,69,27.97352773659492,-82.53317462556502,n69,Txy,null,null
Txy_A_L,70,27.97385314741806,-82.53315703848315,n70,Txy,null,null
Txy_L_N,71,27.97199568349245,-82.53322218893135,n71,Txy,null,null
Txy_J_A14,72,27.9730296232475,-82.53075084294164,n72,Txy,null,null
Txy_J_C,73,27.9730069631367,-82.52993667522688,n73,Txy,null,null
Txy_A14_001,74,27.97352823591945,-82.53074510253361,n74,Txy,null,null
Txy_A14_A,75,27.97376265375476,-82.53074197664209,n75,Txy,null,null
Txy_A13_001,76,27.97375890772885,-82.53040248900749,n76,Txy,null,null
Txy_A13_A,77,27.97374215007325,-82.52990959878777,n77,Txy,null,null
Txy_J_005,78,27.97299926394618,-82.52955905799702,n78,Txy,null,null
Txy_N_C,79,27.97190413783935,-82.52997008676913,n79,Txy,null,null
Txy_J_006,80,27.97294839650484,-82.52783185268862,n80,Txy,null,null
Txy_J_E,81,27.97291752295006,-82.52678630808694,n81,Txy,null,null
Txy_J_F,82,27.97286017149062,-82.52453335251548,n82,Txy,null,null
Txy_J_007,83,27.97278689501305,-82.52187889678977,n83,Txy,null,null
Txy_J_K,84,27.97276264037692,-82.52145567497705,n84,Txy,null,null
Txy_W2_001,85,27.96914176135045,-82.54128318550349,n85,Txy,null,null
Txy_W1_001,86,27.96423373968732,-82.54145013261288,n86,Txy,null,null
Txy_W1_002,87,27.96336840429548,-82.54149589847651,n87,Txy,null,null
Txy_W1_W,88,27.96337449317221,-82.54112131235966,n88,Txy,null,null
Txy_W_W1,89,27.96422394887338,-82.5410917353743,n89,Txy,null,null
Txy_B_B7,90,27.98602670175816,-82.53770103882825,n90,Txy,null,null
Txy_B7_001,91,27.98605935987686,-82.53892040190479,n91,Txy,null,null
Txy_B_B8,92,27.98583982726798,-82.53105669738441,n92,Txy,null,null
Txy_A8_001,93,27.98498175318855,-82.53159371936991,n93,Txy,null,null
