n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_C_001,98,27.98705241484783,-82.5290832548001,Txy_C_002,99,27.98703335136309,-82.52946589196236
Rwy_02_001,10,27.98703052675849,-82.52822773526876,Txy_C_001,98,27.98705241484783,-82.5290832548001
Rwy_02_001,10,27.98703052675849,-82.52822773526876,Txy_E_001,126,27.98686914897107,-82.52729016595117
Txy_E_001,126,27.98686914897107,-82.52729016595117,Txy_E_002,127,27.98586211152482,-82.52639352926197
Txy_E_002,127,27.98586211152482,-82.52639352926197,Txy_E_003,128,27.98315811833189,-82.52649407153446
Txy_E_003,128,27.98315811833189,-82.52649407153446,Txy_E_U,130,27.97926051486108,-82.52684083122311
Txy_E_U,130,27.97926051486108,-82.52684083122311,Rwy_02_003,13,27.98075967580292,-82.52843156470857
Rwy_02_003,13,27.98075967580292,-82.52843156470857,Rwy_02_002,11,27.98577135880167,-82.52826335291986
Rwy_02_002,11,27.98577135880167,-82.52826335291986,Rwy_02_001,10,27.98703052675849,-82.52822773526876
Rwy_02_002,11,27.98577135880167,-82.52826335291986,Txy_B_001,96,27.98579627082953,-82.52912905372244
Txy_B_001,96,27.98579627082953,-82.52912905372244,Txy_B_C,95,27.98580252008284,-82.529502825168
Txy_B_C,95,27.98580252008284,-82.529502825168,Txy_C_002,99,27.98703335136309,-82.52946589196236
Txy_B_C,95,27.98580252008284,-82.529502825168,Txy_B8_B,97,27.98432584897597,-82.5295540629633
Txy_B8_B,97,27.98432584897597,-82.5295540629633,Txy_A9_B,100,27.98333700766523,-82.5295877302043
Txy_A9_B,100,27.98333700766523,-82.5295877302043,Txy_A10_B,103,27.98113713792357,-82.5296575761539
Txy_A10_B,103,27.98113713792357,-82.5296575761539,Txy_B_U,107,27.98078240546134,-82.52966890645995
Txy_B_U,107,27.98078240546134,-82.52966890645995,Txy_U_001,106,27.9807783105727,-82.5292971159471
Rwy_02_003,13,27.98075967580292,-82.52843156470857,Txy_U_001,106,27.9807783105727,-82.5292971159471
Txy_E_003,128,27.98315811833189,-82.52649407153446,Txy_E_004,129,27.98315296489806,-82.52600363152739
Txy_E_004,129,27.98315296489806,-82.52600363152739,Parking_01_002,265,27.98315389131953,-82.52469222673665
Txy_E_U,130,27.97926051486108,-82.52684083122311,Txy_U_002,131,27.97905766123967,-82.52634719085637
Txy_U_002,131,27.97905766123967,-82.52634719085637,Parking_01_003,266,27.97902192340306,-82.52514106464587
Txy_B_U,107,27.98078240546134,-82.52966890645995,Txy_A11_C,109,27.97825114304265,-82.52976016077307
Txy_A11_C,109,27.97825114304265,-82.52976016077307,Txy_A12_C,111,27.97533391628376,-82.52985753874799
Txy_A12_C,111,27.97533391628376,-82.52985753874799,Txy_A13_A,77,27.97374215007325,-82.52990959878777
Txy_A13_A,77,27.97374215007325,-82.52990959878777,Txy_C_003,115,27.97344018292927,-82.52992391064937
Txy_C_003,115,27.97344018292927,-82.52992391064937,Txy_J_C,73,27.9730069631367,-82.52993667522688
Txy_J_C,73,27.9730069631367,-82.52993667522688,Txy_N_C,79,27.97190413783935,-82.52997008676913
Txy_N_C,79,27.97190413783935,-82.52997008676913,Txy_C_004,116,27.97135660771941,-82.52999009386352
Txy_C_004,116,27.97135660771941,-82.52999009386352,Rwy_03_009,33,27.970669335698,-82.53000974651849
Rwy_03_009,33,27.970669335698,-82.53000974651849,Txy_C_005,117,27.96997998429484,-82.53003303095021
Txy_C_005,117,27.96997998429484,-82.53003303095021,Txy_C_S,118,27.96950853719894,-82.53005107461715
Txy_C_S,118,27.96950853719894,-82.53005107461715,Txy_C_R,119,27.96880844023804,-82.5300768084271
Txy_C_R,119,27.96880844023804,-82.5300768084271,Txy_Q_C,123,27.96528782496209,-82.5301933287173
Txy_Q_C,123,27.96528782496209,-82.5301933287173,Txy_P_002,125,27.96445690171989,-82.53021675588217
Txy_P_002,125,27.96445690171989,-82.53021675588217,Txy_P_001,124,27.96444244398925,-82.52984916953461
Txy_P_001,124,27.96444244398925,-82.52984916953461,Rwy_02_014,24,27.96443827647283,-82.52898734749995
Rwy_02_014,24,27.96443827647283,-82.52898734749995,Txy_D_P,160,27.9643786021289,-82.52775111067206
Txy_D_P,160,27.9643786021289,-82.52775111067206,Txy_P_003,165,27.96435982331892,-82.52725144455876
Txy_P_003,165,27.96435982331892,-82.52725144455876,Txy_P_E,166,27.96436643276172,-82.5270200990449
Txy_P_E,166,27.96436643276172,-82.5270200990449,Txy_Q_E,164,27.96519474759743,-82.5269753701803
Txy_Q_E,164,27.96519474759743,-82.5269753701803,Txy_Q_003,163,27.96519704649112,-82.52722526187078
Txy_Q_003,163,27.96519704649112,-82.52722526187078,Txy_Q_R,159,27.96520438996685,-82.52771641155165
Txy_Q_R,159,27.96520438996685,-82.52771641155165,Txy_Q_002,162,27.96521677155756,-82.52809224334521
Txy_Q_002,162,27.96521677155756,-82.52809224334521,Rwy_02_013,23,27.96524852327287,-82.5289556250066
Rwy_02_013,23,27.96524852327287,-82.5289556250066,Txy_Q_001,122,27.96526759893311,-82.52982364833635
Txy_Q_001,122,27.96526759893311,-82.52982364833635,Txy_Q_C,123,27.96528782496209,-82.5301933287173
Rwy_02_013,23,27.96524852327287,-82.5289556250066,Rwy_02_014,24,27.96443827647283,-82.52898734749995
Rwy_02_013,23,27.96524852327287,-82.5289556250066,Rwy_02_012,22,27.96877976133365,-82.52883408984856
Rwy_02_012,22,27.96877976133365,-82.52883408984856,Rwy_02_011,21,27.96946544951628,-82.52881347548823
Rwy_02_011,21,27.96946544951628,-82.52881347548823,Rwy_02_010,20,27.96984061909196,-82.52879914340292
Rwy_02_010,20,27.96984061909196,-82.52879914340292,Rwy_02_03,19,27.97063457726703,-82.52877033268864
Rwy_02_03,19,27.97063457726703,-82.52877033268864,Rwy_02_008,18,27.97153523742306,-82.52874420800543
Rwy_02_008,18,27.97153523742306,-82.52874420800543,Rwy_02_007,17,27.97187595241903,-82.52873617065066
Rwy_02_007,17,27.97187595241903,-82.52873617065066,Rwy_02_006,16,27.97297228572282,-82.5287019246669
Txy_Q_R,159,27.96520438996685,-82.52771641155165,Txy_D_P,160,27.9643786021289,-82.52775111067206
Txy_Q_R,159,27.96520438996685,-82.52771641155165,Txy_D_R,158,27.96874185718971,-82.52759962823706
Txy_R_E,169,27.96873499644717,-82.52680209257915,Txy_Q_E,164,27.96519474759743,-82.5269753701803
Txy_R_E,169,27.96873499644717,-82.52680209257915,Parking_10_003,292,27.96678631640871,-82.52645656136755
Parking_10_002,291,27.96812645825098,-82.52482557623063,Txy_R_E,169,27.96873499644717,-82.52680209257915
Txy_R_001,120,27.96880133621849,-82.5296977425542,Txy_C_R,119,27.96880844023804,-82.5300768084271
Rwy_02_012,22,27.96877976133365,-82.52883408984856,Txy_R_001,120,27.96880133621849,-82.5296977425542
Rwy_02_012,22,27.96877976133365,-82.52883408984856,Txy_R_002,167,27.96875851229549,-82.5279793926981
Txy_R_002,167,27.96875851229549,-82.5279793926981,Txy_D_R,158,27.96874185718971,-82.52759962823706
Txy_D_R,158,27.96874185718971,-82.52759962823706,Txy_R_003,168,27.96872686275258,-82.52710624607684
Txy_R_003,168,27.96872686275258,-82.52710624607684,Txy_R_E,169,27.96873499644717,-82.52680209257915
Txy_R_E,169,27.96873499644717,-82.52680209257915,Txy_E_010,161,27.96897183564153,-82.52676691901524
Txy_E_010,161,27.96897183564153,-82.52676691901524,Txy_S_E,156,27.96941398054144,-82.52674554975071
Txy_S_E,156,27.96941398054144,-82.52674554975071,Txy_E_009,153,27.96988682441878,-82.52672880737771
Txy_E_009,153,27.96988682441878,-82.52672880737771,Rwy_03_005,29,27.97056763737799,-82.52678710386841
Txy_C_S,118,27.96950853719894,-82.53005107461715,Txy_S_001,121,27.96949582151669,-82.52967530132344
Txy_S_001,121,27.96949582151669,-82.52967530132344,Rwy_02_011,21,27.96946544951628,-82.52881347548823
Rwy_02_011,21,27.96946544951628,-82.52881347548823,Txy_S_003,154,27.96944492707572,-82.52795107567258
Txy_S_003,154,27.96944492707572,-82.52795107567258,Txy_S_D,155,27.969433749885,-82.5275731376977
Txy_S_D,155,27.969433749885,-82.5275731376977,Txy_S_E,156,27.96941398054144,-82.52674554975071
Txy_S_E,156,27.96941398054144,-82.52674554975071,Txy_H_S,139,27.96931051025171,-82.52304132400695
Txy_H_S,139,27.96931051025171,-82.52304132400695,Txy_S1_S,170,27.96928785329814,-82.52218626653686
Txy_S1_S,170,27.96928785329814,-82.52218626653686,Txy_S1_003,171,27.96885148418603,-82.5222067829985
Txy_S1_003,171,27.96885148418603,-82.5222067829985,Txy_S1_R,172,27.96861978487858,-82.52221363634209
Txy_H_005,140,27.96887547784586,-82.52296438579111,Txy_H_S,139,27.96931051025171,-82.52304132400695
Txy_R_E,169,27.96873499644717,-82.52680209257915,Txy_H_R,141,27.96866128597207,-82.52323471038618
Txy_H_005,140,27.96887547784586,-82.52296438579111,Txy_H_R,141,27.96866128597207,-82.52323471038618
Txy_H_R,141,27.96866128597207,-82.52323471038618,Txy_S1_R,172,27.96861978487858,-82.52221363634209
Txy_S_D,155,27.969433749885,-82.5275731376977,Txy_D_R,158,27.96874185718971,-82.52759962823706
Txy_S_D,155,27.969433749885,-82.5275731376977,Txy_D_001,157,27.96991670199087,-82.52756044569536
Rwy_03_006,30,27.97060552833419,-82.52756771923325,Txy_D_001,157,27.96991670199087,-82.52756044569536
Txy_J_E,81,27.97291752295006,-82.52678630808694,Txy_N_G,146,27.9718217625721,-82.52681467455632
Txy_N_G,146,27.9718217625721,-82.52681467455632,Txy_E_008,152,27.97126235633277,-82.52683857600887
Txy_E_008,152,27.97126235633277,-82.52683857600887,Rwy_03_005,29,27.97056763737799,-82.52678710386841
Rwy_02_006,16,27.97297228572282,-82.5287019246669,Rwy_02_005,15,27.97457554397082,-82.52864000491185
Rwy_02_004,14,27.97531585787279,-82.52860106833636,Rwy_02_005,15,27.97457554397082,-82.52864000491185
Txy_J_E,81,27.97291752295006,-82.52678630808694,Txy_E_F,134,27.97528218760382,-82.52697575304542
Txy_E_F,134,27.97528218760382,-82.52697575304542,Txy_E_006,132,27.97624956524793,-82.52694714490144
