id,index,lat,lon,yEdId,domain,refName,type
Rwy_01_03,0,36.21334625627735,-115.2009836984448,n0,Rwy,null,null
Rwy_01_001,1,36.21329996111443,-115.2033160148678,n1,Rwy,RW07 ,Entry
Rwy_01_002,2,36.21330688117848,-115.2028567876279,n2,Rwy,null,null
Rwy_01_005,3,36.21352188485366,-115.1921463674061,n3,Rwy,null,null
Rwy_01_006,4,36.21364064383944,-115.186486807421,n4,Rwy,RW25 ,Entry
Rwy_02_001,5,36.21241620225198,-115.1964122088386,n5,Rwy,RW12L,Entry
Rwy_02_002,6,36.2117848057506,-115.1956115156837,n6,Rwy,null,null
Rwy_02_003,7,36.20982743031096,-115.1931422237985,n7,Rwy,null,null
Rwy_02_004,8,36.20649471267399,-115.1889306134553,n8,Rwy,null,null
Rwy_02_005,9,36.20507437384286,-115.1871277205156,n9,Rwy,null,null
Rwy_02_006,10,36.20478804371255,-115.1867557969432,n10,Rwy,RW30R,Entry
Rwy_02_007,11,36.20436507753318,-115.1862402810398,n11,Rwy,null,null
Rwy_03_001,12,36.21464707332849,-115.2026267875435,n12,Rwy,RW12R,Entry
Rwy_03_002,13,36.21281160417247,-115.2003058302377,n13,Rwy,null,null
Rwy_03_003,14,36.21271440267594,-115.2001807031604,n14,Rwy,null,null
Rwy_03_004,15,36.2107502729034,-115.1977033452238,n15,Rwy,null,null
Rwy_03_005,16,36.20845207505808,-115.1947975306596,n16,Rwy,null,null
Rwy_03_006,17,36.20540503130936,-115.1909508597312,n17,Rwy,null,null
Rwy_03_007,18,36.20513438300167,-115.1905996841289,n18,Rwy,RW30L,Entry
Gate_01_001,19,36.20836151996587,-115.1866374389035,n19,Gate,null,null
Ramp_01_001,20,36.20780128681581,-115.1873244030258,n20,Ramp,null,null
Ramp_01_002,21,36.20642127489014,-115.1855254941073,n21,Ramp,null,null
Ramp_01_003,22,36.20588468073841,-115.1854687855274,n22,Ramp,null,null
Gate_02_001,23,36.20541944444445,-115.1927916666667,n23,Gate,null,null
Ramp_02_001,24,36.20440204113428,-115.1917909770652,n24,Ramp,null,null
Ramp_02_002,25,36.20600223499858,-115.1935191285858,n25,Ramp,null,null
Gate_03_001,26,36.20902796424489,-115.1981756118952,n26,Gate,null,null
Gate_03_002,27,36.21135402303805,-115.2007850213202,n27,Gate,null,null
Gate_03_003,28,36.21205833333334,-115.2038,n28,Gate,null,null
Ramp_03_001,29,36.20771753736185,-115.195689818329,n29,Ramp,null,null
Ramp_03_002,30,36.2101908842062,-115.1988264982826,n30,Ramp,null,null
Ramp_03_003,31,36.21223553263724,-115.2014017016073,n31,Ramp,null,null
