n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Gate_03_003,28,36.21205833333334,-115.2038,Ramp_03_005,33,36.21226385337508,-115.2032739261507
Ramp_03_005,33,36.21226385337508,-115.2032739261507,Ramp_03_004,32,36.21227754352909,-115.2028187596072
Ramp_03_004,32,36.21227754352909,-115.2028187596072,Txy_F_001,82,36.21265744716885,-115.2028394807274
Txy_F_001,82,36.21265744716885,-115.2028394807274,Txy_A_001,45,36.2126609483013,-115.2026632309893
Txy_F_001,82,36.21265744716885,-115.2028394807274,Txy_F_002,83,36.21277326375503,-115.2028433118683
Rwy_01_002,2,36.21330688117848,-115.2028567876279,Txy_F_002,83,36.21277326375503,-115.2028433118683
Rwy_01_001,1,36.21329996111443,-115.2033160148678,Rwy_01_002,2,36.21330688117848,-115.2028567876279
Txy_G_008,60,36.21359747753251,-115.2033333331191,Txy_G_009,61,36.21384443972753,-115.2036852168796
Txy_G_009,61,36.21384443972753,-115.2036852168796,Txy_G_010,62,36.21410750506423,-115.2035709736177
Txy_G_010,62,36.21410750506423,-115.2035709736177,Txy_G_004,41,36.21413079497116,-115.2032593113465
Txy_G_003,40,36.21384771035643,-115.2033310291222,Txy_G_004,41,36.21413079497116,-115.2032593113465
Txy_G_003,40,36.21384771035643,-115.2033310291222,Txy_G_008,60,36.21359747753251,-115.2033333331191
Txy_G_008,60,36.21359747753251,-115.2033333331191,Rwy_01_001,1,36.21329996111443,-115.2033160148678
Rwy_01_001,1,36.21329996111443,-115.2033160148678,Txy_G_002,39,36.21276342029468,-115.2032995915246
Txy_G_002,39,36.21276342029468,-115.2032995915246,Txy_G_001,38,36.21253143985631,-115.2032879685916
Txy_G_001,38,36.21253143985631,-115.2032879685916,Ramp_03_005,33,36.21226385337508,-115.2032739261507
Txy_G_001,38,36.21253143985631,-115.2032879685916,Txy_F_001,82,36.21265744716885,-115.2028394807274
Txy_A_001,45,36.2126609483013,-115.2026632309893,Txy_A_002,46,36.21268728737256,-115.2011020838318
Txy_A_002,46,36.21268728737256,-115.2011020838318,Rwy_03_003,14,36.21271440267594,-115.2001807031604
Ramp_03_003,31,36.21223553263724,-115.2014017016073,Txy_R_001,81,36.21238070027533,-115.20123347557
Txy_R_001,81,36.21238070027533,-115.20123347557,Txy_R_B,84,36.21250770989501,-115.2010850898492
Txy_R_B,84,36.21250770989501,-115.2010850898492,Txy_A_002,46,36.21268728737256,-115.2011020838318
Rwy_03_002,13,36.21281160417247,-115.2003058302377,Rwy_03_003,14,36.21271440267594,-115.2001807031604
Rwy_03_002,13,36.21281160417247,-115.2003058302377,Rwy_01_03,0,36.21334625627735,-115.2009836984448
Rwy_01_03,0,36.21334625627735,-115.2009836984448,Rwy_01_003,34,36.21336848020826,-115.2000412231501
Rwy_01_03,0,36.21334625627735,-115.2009836984448,Rwy_01_002,2,36.21330688117848,-115.2028567876279
Txy_G_005,42,36.21425958917406,-115.2030941435934,Txy_G_004,41,36.21413079497116,-115.2032593113465
Rwy_03_001,12,36.21464707332849,-115.2026267875435,Txy_G_005,42,36.21425958917406,-115.2030941435934
Rwy_03_001,12,36.21464707332849,-115.2026267875435,Rwy_01_03,0,36.21334625627735,-115.2009836984448
Txy_G_006,43,36.21503991319411,-115.2021483066314,Rwy_03_001,12,36.21464707332849,-115.2026267875435
Txy_G_007,44,36.21603036302492,-115.200990877727,Ramp_04_001,37,36.2164464516762,-115.2009721839891
Ramp_04_001,37,36.2164464516762,-115.2009721839891,Gate_04_001,36,36.21644444444445,-115.1997083333333
Txy_G_006,43,36.21503991319411,-115.2021483066314,Txy_G_101,104,36.21588516237396,-115.2011404169054
Txy_G_007,44,36.21603036302492,-115.200990877727,Txy_G_101,104,36.21588516237396,-115.2011404169054
Ramp_03_003,31,36.21223553263724,-115.2014017016073,Gate_03_002,27,36.21135402303805,-115.2007850213202
Ramp_03_003,31,36.21223553263724,-115.2014017016073,Ramp_03_004,32,36.21227754352909,-115.2028187596072
Txy_R_B,84,36.21250770989501,-115.2010850898492,Txy_B_C,85,36.21039485715447,-115.1984184875156
Txy_B_C,85,36.21039485715447,-115.1984184875156,Txy_C_001,96,36.21029804249459,-115.1986121467182
Ramp_03_002,30,36.2101908842062,-115.1988264982826,Txy_C_001,96,36.21029804249459,-115.1986121467182
Ramp_03_002,30,36.2101908842062,-115.1988264982826,Gate_03_002,27,36.21135402303805,-115.2007850213202
Txy_B_C,85,36.21039485715447,-115.1984184875156,Txy_C_002,97,36.21045846003285,-115.1982831245952
Txy_C_002,97,36.21045846003285,-115.1982831245952,Rwy_03_004,15,36.2107502729034,-115.1977033452238
Rwy_03_004,15,36.2107502729034,-115.1977033452238,Rwy_03_003,14,36.21271440267594,-115.2001807031604
Rwy_03_003,14,36.21271440267594,-115.2001807031604,Txy_A_003,47,36.2127230795828,-115.1991661769337
Txy_A_003,47,36.2127230795828,-115.1991661769337,Txy_A_004,48,36.21273867912304,-115.1984767651448
