id,index,lat,lon,yEdId,domain,refName,type
Ramp_04_001,0,21.33165315513606,-157.9239503145456,n0,Ramp,null,null
Gate_04_001,1,21.33204525696522,-157.9238660771236,n1,Gate,null,null
Gate_04_002,2,21.3319145921212,-157.9242414404843,n2,Gate,null,null
Ramp_04_002,3,21.3314963483914,-157.92431340197,n3,Ramp,null,null
Ramp_04_003,4,21.33143921881874,-157.9248448572184,n4,Ramp,null,null
Gate_04_003,5,21.33183293715882,-157.9245834724498,n5,Gate,null,null
Gate_04_004,6,21.33178946740398,-157.9249612884437,n6,Gate,null,null
Gate_04_009,7,21.33370515573938,-157.9243891781833,n7,Gate,null,null
Gate_04_008,8,21.33337381233661,-157.9244925705858,n8,Gate,null,null
Gate_04_007,9,21.33303126951916,-157.92455029614,n9,Gate,null,null
Gate_04_006,10,21.332686487721,-157.9246032144307,n10,Gate,null,null
Ramp_04_008,11,21.332794024966,-157.9253266752232,n11,Ramp,null,null
Ramp_04_012,12,21.33382165691753,-157.9251847506282,n12,Ramp,null,null
Ramp_04_009,13,21.33313656817176,-157.9252785661901,n13,Ramp,null,null
Ramp_04_011,14,21.33347911231643,-157.9252304563771,n14,Ramp,null,null
Ramp_04_013,15,21.33415972336697,-157.9251366418029,n15,Ramp,null,null
Gate_04_013,16,21.33506695157595,-157.9242031781369,n16,Gate,null,null
Ramp_04_016,17,21.3348321788607,-157.9249787752726,n17,Ramp,null,null
Gate_04_010,18,21.33405148004872,-157.9243708544037,n18,Gate,null,null
Gate_04_012,19,21.33472495917688,-157.9242557462971,n19,Gate,null,null
Gate_04_011,20,21.33439842650126,-157.9243406871696,n20,Gate,null,null
Ramp_04_014,21,21.33450564745869,-157.9250856243862,n21,Ramp,null,null
Txy_G_006,22,21.33098598255374,-157.9257894611968,n22,Txy,null,null
Txy_L_008,23,21.33132330692277,-157.9262598420674,n23,Txy,null,null
Ramp_04_005,24,21.33137104981457,-157.925525856918,n24,Ramp,null,null
Txy_G_005,25,21.32891653700007,-157.9280217534649,n25,Txy,null,null
Ramp_04_004,26,21.33141164558256,-157.9250741737027,n26,Ramp,null,null
Ramp_04_006,27,21.33186827616778,-157.9254565113813,n27,Ramp,null,null
Txy_L_005,28,21.33016514150754,-157.9284805485568,n28,Txy,null,null
Txy_L_004,29,21.32911339430571,-157.9286547579817,n29,Txy,null,null
Ramp_04_010,30,21.33321301272495,-157.9256681854672,n30,Ramp,null,null
Gate_04_005,31,21.33228099314467,-157.9249609512578,n31,Gate,null,null
Ramp_04_007,32,21.33174529801693,-157.9258757368351,n32,Ramp,null,null
Ramp_04_015,33,21.33446728625772,-157.9254941257079,n33,Ramp,null,null
Ramp_04_018,34,21.33555377918455,-157.9262518998797,n34,Ramp,null,null
