n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_M_001,141,21.31960860312036,-157.9532225806923,Txy_M_002,140,21.32135755331063,-157.9480594293626
Txy_M_002,140,21.32135755331063,-157.9480594293626,Txy_M_003,139,21.32173089520066,-157.9469569842509
Txy_M_003,139,21.32173089520066,-157.9469569842509,Txy_M_004,166,21.32236395297232,-157.9451300842257
Txy_M_004,166,21.32236395297232,-157.9451300842257,Txy_B_M,138,21.32303555009931,-157.9442116864274
Txy_B_M,138,21.32303555009931,-157.9442116864274,Txy_B_RB,137,21.32304176482904,-157.9432200637583
Rwy_02_001,146,21.30680176017259,-157.9456937744062,Txy_RB_001,145,21.30762806159162,-157.9456873925179
Txy_RB_001,145,21.30762806159162,-157.9456873925179,Txy_RA_RB,157,21.30969184774149,-157.9456927633652
Rwy_02_002,147,21.30679665594458,-157.9444618937057,Txy_RC_001,144,21.30763192326674,-157.9444641483931
Txy_RC_001,144,21.30763192326674,-157.9444641483931,Txy_RA_RC,158,21.30968893648631,-157.944460528461
Txy_RA_RB,157,21.30969184774149,-157.9456927633652,Txy_RB_002,167,21.31738188651821,-157.9464933119784
Txy_RB_002,167,21.31738188651821,-157.9464933119784,Txy_B_RB,137,21.32304176482904,-157.9432200637583
Txy_RA_RB,157,21.30969184774149,-157.9456927633652,Txy_RA_RC,158,21.30968893648631,-157.944460528461
Txy_RA_RC,158,21.30968893648631,-157.944460528461,Txy_RA_RM,160,21.30967536830536,-157.9397324357234
Rwy_02_001,146,21.30680176017259,-157.9456937744062,Rwy_02_002,147,21.30679665594458,-157.9444618937057
Rwy_02_002,147,21.30679665594458,-157.9444618937057,Rwy_02_003,149,21.30679101570278,-157.9343703881436
Txy_RA_RM,160,21.30967536830536,-157.9397324357234,Txy_RA_001,159,21.3096884152669,-157.9383596859478
Txy_RA_RM,160,21.30967536830536,-157.9397324357234,Txy_RM_001,148,21.30775779761628,-157.9361654132192
Txy_RM_001,148,21.30775779761628,-157.9361654132192,Rwy_02_003,149,21.30679101570278,-157.9343703881436
Txy_RA_001,159,21.3096884152669,-157.9383596859478,Txy_RA_002,161,21.30968801827073,-157.9288131240915
Rwy_02_003,149,21.30679101570278,-157.9343703881436,Rwy_02_004,151,21.30678315916714,-157.922105645304
Txy_RA_002,161,21.30968801827073,-157.9288131240915,Txy_RA_RT,162,21.30968014887199,-157.9230589948181
Rwy_02_004,151,21.30678315916714,-157.922105645304,Txy_RG_001,150,21.3077525780358,-157.9202916969965
Txy_RG_001,150,21.3077525780358,-157.9202916969965,Txy_RA_RG,163,21.30968163151439,-157.916832036144
Txy_RA_RT,162,21.30968014887199,-157.9230589948181,Txy_RA_RG,163,21.30968163151439,-157.916832036144
Rwy_02_004,151,21.30678315916714,-157.922105645304,Rwy_02_005,152,21.30679678895271,-157.9149976279805
Rwy_02_005,152,21.30679678895271,-157.9149976279805,Rwy_02_006,155,21.30679598625232,-157.9119860912434
Txy_RA_RG,163,21.30968163151439,-157.916832036144,Txy_RA_RH,164,21.30968748422377,-157.91198745914
Txy_RA_RH,164,21.30968748422377,-157.91198745914,Txy_RH_001,153,21.30762011361777,-157.9119829962025
Txy_RH_001,153,21.30762011361777,-157.9119829962025,Rwy_02_006,155,21.30679598625232,-157.9119860912434
Rwy_02_006,155,21.30679598625232,-157.9119860912434,Rwy_02_007,156,21.30679303987367,-157.9107705124019
Txy_RA_RH,164,21.30968748422377,-157.91198745914,Txy_RA_003,165,21.30966665336968,-157.9107776054216
Txy_RA_003,165,21.30966665336968,-157.9107776054216,Txy_RA_004,154,21.30762262500634,-157.9107615496061
Txy_RA_004,154,21.30762262500634,-157.9107615496061,Rwy_02_007,156,21.30679303987367,-157.9107705124019
Txy_RT_001,178,21.31217620770711,-157.9254694033124,Txy_RA_RT,162,21.30968014887199,-157.9230589948181
Rwy_04_001,103,21.31400717297691,-157.9270058267088,Txy_C_001,104,21.31338973785349,-157.9265235857088
Txy_C_001,104,21.31338973785349,-157.9265235857088,Txy_C_RT,179,21.31268511932353,-157.9259598320136
Txy_C_RT,179,21.31268511932353,-157.9259598320136,Txy_RT_001,178,21.31217620770711,-157.9254694033124
Rwy_04_001,103,21.31400717297691,-157.9270058267088,Rwy_04_002,102,21.3163962083713,-157.9236155307646
Txy_C_RT,179,21.31268511932353,-157.9259598320136,Txy_C_002,177,21.31322714437551,-157.9251794527132
Txy_C_002,177,21.31322714437551,-157.9251794527132,Txy_C_003,180,21.31472318832611,-157.9230454412226
Txy_C_003,180,21.31472318832611,-157.9230454412226,Txy_C_004,181,21.31494334991768,-157.9227491717446
